pin14,pin10,address,demolition_probability,land_ratio,land_val,building_val,land_val_change_pct,building_val_change_pct,building_age,underbuilt_ratio,violation_count_5yr,is_vacant,in_tax_sale,community_area,zone_class,property_class,char_ext_wall,is_llc_owner,nearby_demo_count_2yr,nearby_new_construction_count,years_since_renovation,renovation_investment,lot_size_sf,sale_year,sale_price,sale_price_to_assessed_ratio
14194140210000,1419414021,1738 W ROSCOE ST,0.989947497844696,0.5603448275862069,32500.0,25500.0,1.2321428571428572,-0.38719600115351344,150.0,0.6326923076923078,0.0,0.0,0.0,Lake View,RT-4,2-11,Frame,1,18.0,17.0,99.0,0.0,2600.0,2023.0,740000.0,12.758620689655173
25034230220000,2503423022,9326 S COTTAGE GROVE AVE,0.9899280667304993,0.6533951458958277,7188.0,3813.0,0.3889855072463768,2.6628242074927955,137.0,0.2142292490118577,0.0,0.0,1.0,Chatham,C1-2,2-12,Frame,0,4.0,0.0,99.0,0.0,5750.0,nan,nan,nan
14074210220000,1407421022,4864 N HERMITAGE AVE,0.9899132251739502,0.6941560999499612,65200.0,28727.0,0.6666666666666666,-0.25519834067928443,119.0,0.21554192229038854,0.0,0.0,0.0,Uptown,RS-3,2-03,Frame,1,8.0,13.0,99.0,0.0,8150.0,nan,nan,nan
14193160230000,1419316023,3309 N WESTERN AVE,0.989896297454834,0.6192107553563823,33438.0,20563.0,1.403882099209202,-0.4608547456738332,135.0,0.4186915887850467,0.0,0.0,0.0,North Center,C1-2,2-11,Frame,1,18.0,22.0,99.0,0.0,2675.0,nan,nan,nan
17081300060000,1708130006,1517 W GRAND AVE,0.9898393154144287,0.32404281994406403,16800.0,35045.0,0.7647058823529411,0.02354040713805894,143.0,0.2714285714285714,0.0,0.0,0.0,West Town,C1-2,2-11,Frame,1,7.0,12.0,99.0,0.0,2800.0,nan,nan,nan
20161140330000,2016114033,5724 S LOWE AVE,0.9898343086242676,0.5916,1479.0,1021.0,-0.2717872968980798,-0.847109913147649,135.0,0.34559999999999996,6.0,0.0,1.0,Englewood,RS-3,2-02,Frame,0,3.0,1.0,99.0,0.0,3125.0,nan,nan,nan
21313230410000,2131323041,8554 S BURNHAM AVE,0.9897851347923279,0.5681818181818182,3125.0,2375.0,0.0,-0.6401515151515151,109.0,0.30364444444444444,7.0,0.0,1.0,South Chicago,RS-3,2-02,Frame,0,3.0,0.0,99.0,0.0,3125.0,nan,nan,nan
20302080200000,2030208020,7247 S DAMEN AVE,0.9895925521850586,0.50775,2031.0,1969.0,0.0,-0.5972591532010636,107.0,0.6011076923076923,7.0,0.0,1.0,West Englewood,RS-2,2-03,Frame,0,7.0,0.0,99.0,0.0,3125.0,nan,nan,nan
25213210100000,2521321010,657 W 117TH PL,0.9894900918006897,0.4215027489309713,1380.0,1894.0,-0.2721518987341772,-0.6308711752095109,120.0,0.6468863760832447,6.0,0.0,1.0,West Pullman,RS-3,2-11,Frame,0,4.0,0.0,99.0,0.0,3449.0,nan,nan,nan
25162060890000,2516206089,231 W 104TH PL,0.9894779324531555,0.5910683012259195,1350.0,934.0,-0.27262931034482757,-0.6283326701154,125.0,0.28170940170940173,6.0,0.0,1.0,Roseland,RS-2,2-02,Frame,0,8.0,0.0,99.0,0.0,3375.0,nan,nan,nan
14291260100000,1429126010,2835 N SOUTHPORT AVE,0.9894281029701233,0.42660888260637714,50400.0,67741.0,1.5,-0.20849447917275224,138.0,0.48647186147186144,0.0,0.0,0.0,Lake View,B1-2,2-12,Frame,1,11.0,18.0,99.0,0.0,3360.0,nan,nan,nan
14321070250000,1432107025,1472 W WEBSTER AVE,0.989421010017395,0.50375,42315.0,41685.0,0.09909090909090909,0.0991430454845089,139.0,0.2597402597402597,0.0,0.0,0.0,Lincoln Park,M1-2,2-11,Masonry,1,3.0,8.0,99.0,0.0,3500.0,nan,nan,nan
14203210390000,1420321039,3318 N SOUTHPORT AVE,0.989391565322876,0.5732057191233186,48750.0,36298.0,1.34375,-0.3578871021953334,133.0,0.7979487179487179,0.0,0.0,0.0,Lake View,RT-3.5,2-11,Frame,1,24.0,32.0,99.0,0.0,3250.0,nan,nan,nan
14191110370000,1419111037,3806 N LEAVITT ST,0.9892842173576355,0.5602409638554217,46500.0,36500.0,1.4038461538461537,-0.2881382377033194,115.0,0.7329749103942652,0.0,0.0,0.0,North Center,RS-3,2-11,Masonry,1,23.0,30.0,99.0,0.0,3720.0,nan,nan,nan
20173200060000,2017320006,1343 W 61ST ST,0.9892842173576355,0.6,1500.0,1000.0,-0.3333333333333333,-0.8034591194968553,127.0,0.6681481481481482,8.0,0.0,1.0,West Englewood,RS-3,2-11,Frame,0,11.0,1.0,99.0,0.0,3000.0,nan,nan,nan
14183240050000,1418324005,4047 N OAKLEY AVE,0.9892445802688599,0.45,27900.0,34100.0,0.875,-0.3250465143897708,130.0,0.5311827956989248,0.0,0.0,0.0,North Center,RS-3,2-03,Frame,1,18.0,25.0,99.0,0.0,3100.0,nan,nan,nan
25094190180000,2509419018,10104 S WENTWORTH AVE,0.9891939163208008,0.434,1736.0,2264.0,-0.2727272727272727,-0.5858031467252104,101.0,0.3208082240340305,6.0,0.0,1.0,Roseland,RS-2,2-02,Frame,0,7.0,0.0,99.0,0.0,4340.0,nan,nan,nan
14191220340000,1419122034,2124 W WAVELAND AVE,0.9890797734260559,0.5985841033420678,39063.0,26196.0,1.403876923076923,-0.30427854354234724,113.0,0.3136,0.0,1.0,0.0,North Center,RS-3,2-02,Frame,0,32.0,32.0,99.0,0.0,3125.0,nan,nan,nan
